start training

 run  epoch   iter    rate      |  train_loss    (acc)     |  valid_loss    (acc)     |  time 
 1.6   38.0   10754   0.100000 |  0.106066    (0.968750) |  0.022108    (0.993667) | 13.1 min
 1.7   40.0   11320   0.100000 |  0.088433    (0.976562) |  0.022980    (0.993000) | 13.6 min
 1.8   42.0   11886   0.100000 |  0.083653    (0.968750) |  0.008560    (0.997333) | 14.0 min
 1.9   44.0   12452   0.100000 |  0.016206    (1.000000) |  0.014853    (0.995333) | 14.5 min
 1.9   46.0   13018   0.100000 |  0.102795    (0.976562) |  0.024796    (0.991667) | 14.9 min
 2.0   48.0   13584   0.100000 |  0.080726    (0.960938) |  0.026189    (0.989000) | 17.7 min
 2.1   50.0   14150   0.100000 |  0.140995    (0.984375) |  0.016926    (0.996333) | 18.2 min
 2.2   52.0   14716   0.100000 |  0.075531    (0.984375) |  0.020458    (0.994667) | 18.6 min
 2.3   54.0   15282   0.100000 |  0.071245    (0.992188) |  0.044036    (0.987000) | 19.0 min
 2.4   56.0   15848   0.100000 |  0.039553    (0.984375) |  0.034634    (0.990667) | 19.5 min
 2.4   58.0   16414   0.100000 |  0.103036    (0.968750) |  0.014105    (0.996667) | 19.9 min
 2.5   60.0   16980   0.100000 |  0.042277    (0.992188) |  0.021724    (0.994667) | 20.3 min
 2.6   62.0   17546   0.100000 |  0.053151    (0.976562) |  0.025181    (0.992667) | 20.8 min
 2.7   64.0   18112   0.100000 |  0.065385    (0.976562) |  0.030595    (0.991000) | 21.2 min
 2.8   66.0   18678   0.100000 |  0.108878    (0.953125) |  0.069998    (0.983333) | 21.7 min
 2.9   68.0   19244   0.100000 |  0.090398    (0.976562) |  0.022118    (0.993667) | 22.1 min
 2.9   70.0   19810   0.100000 |  0.134951    (0.953125) |  0.014138    (0.996000) | 22.5 min
 3.0   72.0   20376   0.010000 |  0.014169    (0.992188) |  0.002427    (0.999000) | 25.3 min
 3.1   74.0   20942   0.010000 |  0.005834    (1.000000) |  0.002179    (0.999333) | 25.8 min
 3.2   76.0   21508   0.010000 |  0.001717    (1.000000) |  0.001930    (0.999667) | 26.2 min
 3.3   78.0   22074   0.010000 |  0.036771    (0.984375) |  0.000502    (1.000000) | 26.7 min
 3.4   80.0   22640   0.010000 |  0.010583    (1.000000) |  0.000620    (0.999667) | 27.1 min
 3.5   82.0   23206   0.010000 |  0.036364    (0.992188) |  0.001649    (0.999333) | 27.5 min
 3.5   84.0   23772   0.010000 |  0.024379    (0.992188) |  0.000857    (0.999333) | 28.0 min
 3.6   86.0   24338   0.010000 |  0.008341    (0.992188) |  0.000576    (0.999667) | 28.4 min
 3.7   88.0   24904   0.010000 |  0.036092    (0.992188) |  0.000484    (0.999667) | 28.8 min
 3.8   90.0   25470   0.010000 |  0.000742    (1.000000) |  0.001824    (0.999333) | 29.3 min
 3.9   92.0   26036   0.010000 |  0.006346    (1.000000) |  0.001989    (0.999667) | 29.7 min
 4.0   94.0   26602   0.010000 |  0.001960    (1.000000) |  0.000780    (0.999667) | 30.2 min
 4.0   96.0   27168   0.010000 |  0.010454    (1.000000) |  0.001248    (0.999667) | 33.0 min
 4.1   98.0   27734   0.010000 |  0.002323    (1.000000) |  0.000443    (1.000000) | 33.4 min
 4.2  100.0   28300   0.010000 |  0.001480    (1.000000) |  0.000550    (0.999667) | 33.8 min
 4.3  102.0   28866   0.010000 |  0.011492    (0.992188) |  0.001456    (0.999667) | 34.3 min
 4.4  104.0   29432   0.010000 |  0.000938    (1.000000) |  0.000239    (1.000000) | 34.7 min
 4.5  106.0   29998   0.010000 |  0.017779    (1.000000) |  0.001533    (0.999667) | 35.1 min
 4.6  108.0   30564   0.010000 |  0.023830    (0.984375) |  0.001778    (0.999333) | 35.6 min
 4.6  110.0   31130   0.010000 |  0.000724    (1.000000) |  0.000896    (0.999667) | 36.0 min
 4.7  112.0   31696   0.010000 |  0.004323    (1.000000) |  0.000410    (1.000000) | 36.4 min
 4.8  114.0   32262   0.010000 |  0.002451    (1.000000) |  0.005984    (0.998333) | 36.9 min
 4.9  116.0   32828   0.010000 |  0.023811    (0.992188) |  0.000471    (1.000000) | 37.3 min
 5.0  118.0   33394   0.010000 |  0.003008    (1.000000) |  0.000882    (0.999667) | 37.8 min
 5.1  120.0   33960   0.010000 |  0.122303    (0.968750) |  0.003218    (0.999333) | 40.6 min
 5.1  122.1   34526   0.010000 |  0.012738    (0.992188) |  0.001498    (0.999667) | 41.0 min
 5.2  124.1   35092   0.010000 |  0.001399    (1.000000) |  0.000646    (1.000000) | 41.4 min
 5.3  126.1   35658   0.010000 |  0.003370    (1.000000) |  0.001054    (0.999667) | 41.9 min
 5.4  128.1   36224   0.010000 |  0.052271    (0.984375) |  0.001262    (0.999667) | 42.3 min
 5.5  130.1   36790   0.010000 |  0.009312    (0.992188) |  0.001294    (0.999667) | 42.8 min
 5.6  132.1   37356   0.010000 |  0.014298    (0.992188) |  0.002467    (0.999000) | 43.2 min
 5.6  134.1   37922   0.010000 |  0.040902    (0.984375) |  0.001535    (0.999667) | 43.6 min
 5.7  136.1   38488   0.010000 |  0.005592    (1.000000) |  0.000268    (1.000000) | 44.1 min
 5.8  138.1   39054   0.010000 |  0.039254    (0.984375) |  0.000523    (1.000000) | 44.5 min
 5.9  140.1   39620   0.010000 |  0.002648    (1.000000) |  0.000561    (1.000000) | 44.9 min
 6.0  142.1   40186   0.010000 |  0.013332    (0.992188) |  0.000509    (1.000000) | 45.4 min
 6.1  144.1   40752   0.001000 |  0.001466    (1.000000) |  0.000720    (0.999667) | 48.2 min
 6.2  146.1   41318   0.001000 |  0.011468    (0.992188) |  0.000196    (1.000000) | 48.6 min
 6.2  148.1   41884   0.001000 |  0.004098    (1.000000) |  0.000168    (1.000000) | 49.0 min
 6.3  150.1   42450   0.001000 |  0.002925    (1.000000) |  0.000171    (1.000000) | 49.4 min
 6.4  152.1   43016   0.001000 |  0.030511    (0.992188) |  0.000213    (1.000000) | 49.9 min
 6.5  154.1   43582   0.001000 |  0.013415    (0.992188) |  0.000173    (1.000000) | 50.3 min
 6.6  156.1   44148   0.001000 |  0.001807    (1.000000) |  0.000140    (1.000000) | 50.7 min
 6.7  158.1   44714   0.001000 |  0.000816    (1.000000) |  0.000187    (1.000000) | 51.1 min
 6.7  160.1   45280   0.001000 |  0.000584    (1.000000) |  0.000315    (1.000000) | 51.6 min
 6.8  162.1   45846   0.001000 |  0.000733    (1.000000) |  0.000121    (1.000000) | 52.0 min
 6.9  164.1   46412   0.001000 |  0.001204    (1.000000) |  0.000198    (1.000000) | 52.4 min
 7.0  166.1   46978   0.001000 |  0.000198    (1.000000) |  0.000130    (1.000000) | 52.9 min
 7.1  168.1   47544   0.001000 |  0.000783    (1.000000) |  0.000134    (1.000000) | 55.7 min
 7.2  170.1   48110   0.001000 |  0.010312    (1.000000) |  0.000123    (1.000000) | 56.1 min
 7.2  172.1   48676   0.001000 |  0.000746    (1.000000) |  0.000142    (1.000000) | 56.5 min
 7.3  174.1   49242   0.001000 |  0.011315    (0.992188) |  0.000155    (1.000000) | 57.0 min
 7.4  176.1   49808   0.001000 |  0.001038    (1.000000) |  0.000253    (1.000000) | 57.4 min
 7.5  178.1   50374   0.001000 |  0.000912    (1.000000) |  0.000099    (1.000000) | 57.8 min
 7.6  180.1   50940   0.001000 |  0.004769    (1.000000) |  0.000153    (1.000000) | 58.2 min
 7.7  182.1   51506   0.001000 |  0.000198    (1.000000) |  0.000156    (1.000000) | 58.6 min
 7.8  184.1   52072   0.001000 |  0.001641    (1.000000) |  0.000267    (1.000000) | 59.1 min
 7.8  186.1   52638   0.001000 |  0.000225    (1.000000) |  0.000215    (1.000000) | 59.5 min
 7.9  188.1   53204   0.001000 |  0.000942    (1.000000) |  0.000163    (1.000000) | 59.9 min
 8.0  190.1   53770   0.000100 |  0.005574    (1.000000) |  0.000137    (1.000000) | 62.8 min
 8.1  192.1   54336   0.000100 |  0.001065    (1.000000) |  0.000185    (1.000000) | 63.2 min
 8.2  194.1   54902   0.000100 |  0.049882    (0.992188) |  0.000136    (1.000000) | 63.6 min
 8.3  196.1   55468   0.000100 |  0.000284    (1.000000) |  0.000156    (1.000000) | 64.0 min
 8.3  198.1   56034   0.000100 |  0.012058    (0.992188) |  0.000177    (1.000000) | 64.4 min
 8.4  200.1   56600   0.000100 |  0.000184    (1.000000) |  0.000170    (1.000000) | 64.9 min
 8.5  202.1   57166   0.000100 |  0.000382    (1.000000) |  0.000125    (1.000000) | 65.3 min
 8.6  204.1   57732   0.000100 |  0.000565    (1.000000) |  0.000118    (1.000000) | 65.7 min
 8.7  206.1   58298   0.000100 |  0.000354    (1.000000) |  0.000128    (1.000000) | 66.2 min
 8.8  208.1   58864   0.000100 |  0.000270    (1.000000) |  0.000169    (1.000000) | 66.6 min
 8.8  210.1   59430   0.000100 |  0.057153    (0.992188) |  0.000203    (1.000000) | 67.0 min
 8.9  212.1   59996   0.000100 |  0.001021    (1.000000) |  0.000125    (1.000000) | 67.4 min
 9.0  213.7   60453   0.000100 |  0.001422    (1.000000) |  0.000088    (1.000000) | 67.7 min


** evaluation on test set **
test_loss=0.012501    (test_acc=0.996833)
